Concert,Phrase,Musician1,Musician2,Texture,Pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF,Melody Instrument
BrahmsConcertPart2,File17,m1,m2,H,m1_m2,1.601778802,0.024422312,1.29860719,0.136783117,1,0,1.450192996,m5
BrahmsConcertPart2,File17,m1,m3,H,m1_m3,1.457634819,0.058211358,1.689387502,0.013876206,0,1,1.573511161,m5
BrahmsConcertPart2,File17,m1,m4,H,m1_m4,3.050974522,2.62E-07,1.291410785,0.141761376,1,0,2.171192654,m5
BrahmsConcertPart2,File17,m1,m5,H,m1_m5,1.266973217,0.159735037,1.197410949,0.220417046,0,0,1.232192083,m5
BrahmsConcertPart2,File17,m2,m3,H,m2_m3,1.697908734,0.013115838,2.454263845,4.35E-05,1,1,2.076086289,m5
BrahmsConcertPart2,File17,m2,m4,H,m2_m4,2.351681303,0.000100482,1.839718152,0.004970522,1,1,2.095699727,m5
BrahmsConcertPart2,File17,m2,m5,H,m2_m5,1.485584972,0.049508503,2.228216665,0.000269658,1,1,1.856900818,m5
BrahmsConcertPart2,File17,m3,m4,H,m3_m4,3.207869105,6.52E-08,1.816597326,0.005845627,1,1,2.512233216,m5
BrahmsConcertPart2,File17,m3,m5,H,m3_m5,1.780161173,0.007524908,2.474165306,3.69E-05,1,1,2.127163239,m5
BrahmsConcertPart2,File17,m4,m5,H,m4_m5,2.031780063,0.001226156,6.557232503,0,1,1,4.294506283,m5
BrahmsConcertPart1,File18,m1,m2,H,m1_m2,1.507430379,0.044254149,1.21836372,0.201651257,1,0,1.362897049,m5
BrahmsConcertPart1,File18,m1,m3,H,m1_m3,1.156874906,0.263474974,1.236007298,0.186020099,0,0,1.196441102,m5
BrahmsConcertPart1,File18,m1,m4,H,m1_m4,1.708450311,0.012580494,0.672937341,0.906566082,1,0,1.190693826,m5
BrahmsConcertPart1,File18,m1,m5,H,m1_m5,1.707990204,0.012618722,1.36713736,0.097042669,1,0,1.537563782,m5
BrahmsConcertPart1,File18,m2,m3,H,m2_m3,1.290985746,0.143120165,1.033790789,0.419991992,0,0,1.162388268,m5
BrahmsConcertPart1,File18,m2,m4,H,m2_m4,1.466958158,0.055983825,0.948729096,0.546804686,0,0,1.207843627,m5
